SUBBASIN_NUMBER,BASIN_NAME,ANNUAL_REPORT_AREA,REPORT_YEAR,SINGLE_MULTIPLE_AR
5-022.01,EASTERN SAN JOAQUIN,Entire Basin,2019,Single Annual Report
5-022.01,EASTERN SAN JOAQUIN,Entire Basin,2020,Single Annual Report
5-022.01,EASTERN SAN JOAQUIN,Entire Basin,2021,Single Annual Report
5-022.01,EASTERN SAN JOAQUIN,Entire Basin,2022,Single Annual Report
5-022.01,EASTERN SAN JOAQUIN,Entire Basin,2023,Single Annual Report
5-022.01,EASTERN SAN JOAQUIN,Entire Basin,2024,Single Annual Report
5-022.01,EASTERN SAN JOAQUIN,Entire Basin,2025,Single Annual Report
5-022.02,MODESTO,Entire Basin,2021,Single Annual Report
5-022.02,MODESTO,Entire Basin,2022,Single Annual Report
5-022.02,MODESTO,Entire Basin,2023,Single Annual Report
5-022.02,MODESTO,Entire Basin,2024,Single Annual Report
5-022.02,MODESTO,Entire Basin,2025,Single Annual Report
5-022.03,TURLOCK,Entire Basin,2021,Single Annual Report
5-022.03,TURLOCK,Entire Basin,2022,Single Annual Report
5-022.03,TURLOCK,Entire Basin,2023,Single Annual Report
5-022.03,TURLOCK,Entire Basin,2024,Single Annual Report
5-022.03,TURLOCK,Entire Basin,2025,Single Annual Report
5-022.04,MERCED,Entire Basin,2019,Single Annual Report
5-022.04,MERCED,Entire Basin,2020,Single Annual Report
5-022.04,MERCED,Entire Basin,2021,Single Annual Report
5-022.04,MERCED,Entire Basin,2022,Single Annual Report
5-022.04,MERCED,Entire Basin,2023,Single Annual Report
5-022.04,MERCED,Entire Basin,2024,Single Annual Report
5-022.04,MERCED,Entire Basin,2025,Single Annual Report
5-022.05,CHOWCHILLA,Entire Basin,2019,Single Annual Report
5-022.05,CHOWCHILLA,Entire Basin,2020,Single Annual Report
5-022.05,CHOWCHILLA,Entire Basin,2021,Single Annual Report
5-022.05,CHOWCHILLA,Entire Basin,2022,Single Annual Report
5-022.05,CHOWCHILLA,Entire Basin,2023,Single Annual Report
5-022.05,CHOWCHILLA,Entire Basin,2024,Single Annual Report
5-022.05,CHOWCHILLA,Entire Basin,2025,Single Annual Report
5-022.06,MADERA,Entire Basin,2024,Single Annual Report
5-022.06,MADERA,Entire Basin,2025,Single Annual Report
