GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METERS_VOLUME,MTRS_METHOD_EXPLANATION,MTRS_TYPE,MTRS_ACCURACY,MTRS_ACCURACY_EXPLANATION,ERECORDS_VOLUME,ERECORDS_METHOD_EXPLANATION,ERECORDS_TYPE,ERECORDS_ACCURACY,ERECORDS_ACCURACY_EXPLANATION,LUSE_VOLUME,LUSE_METHOD_EXPLANATION,LUSE_TYPE,LUSE_ACCURACY,LUSE_ACCURACY_EXPLANATION,GW_MODEL_VOLUME,GW_MODEL_METHOD_EXPLANATION,GW_MODEL_TYPE,GW_MODEL_ACCURACY,GW_MODEL_ACCURACY_EXPLANATION,OTHER_VOLUME,OTHER_METHOD_EXPLANATION,OTHER_TYPE,OTHER_ACCURACY,OTHER_ACCURACY_EXPLANATION
10,,2019,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,0,,,,,0,,,,,209970,Calculated as the closure of a Land Surface System water budget for the Chowchilla Subbasin (closure of each water use sector was calculated separately for each subregion). All other Land Surface System water budget components were quantified using measured volumes (where available) or using unitized IWFM Demand Calculator (IDC) model results multiplied by land use areas. Land use data in 2019 came from County Agriculture Commission land use data (spatially interpolated from DWR Land Use Survey results and Land IQ coverages using the DWR interpolation tool).,Estimate,20-30 %,"Typical uncertainty when calculated for Land Surface System water balance closure. Uncertainty of the water budget closure is calculated as the combined uncertainty of all other water budget flow paths following the procedure described by Clemmens and Burt (1997), as discussed in the Annual Report. The uncertainties of all other flow paths are quantified based on measurement device accuracy, technical literature, or professional judgment.",0,,,,,0,,,,
8,,2019,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,0,,,,,0,,,,,0,,,,,0,,,,,270400,Sum of self-reported volumes from each GSA within the Delta-Mendota Subbasin across six Subbasin GSP regions,Estimate,Other,Measurement method is Estimate and varies by each of the 23 GSAs in the Delta-Mendota Subbasin
14,,2019,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,29547,Metered groundwater pumping reported by local agencies is included in this total volume. ,Direct,90-100 %,The accuracy percentage showed indicates the accuracy percentage assumed at metered wells in the Subbasin. ,0,,,,,0,,,,,708600,"Agricultural, private domestic, and other groundwater production in the Subbasin is largely unmetered and were estimated using the Eastern San Joaquin Water Resources Model, which bases water use on crop type, hydrologic data (precipitation and evapotranspiration), irrigation efficiency, and population information. ",Estimate,Other,"The estimates provided by the Eastern San Joaquin Water Resources Model have a qualitative level of accuracy of ""Medium."" ",0,,,,
29,,2019,KAWEAH,5-022.11,Single Annual Report,Entire Basin,53200,Propeller and Magnetic Meters on public wells,Direct,0-5 %,Typical manufacturer accuracy for Propeller and Magnetic meters,0,,,,,603900,Estimated groundwater pumping from satellite ET analysis on applied water minus surface water deliveries,Estimate,10-20 %,Based on the accuracy of the satellite ET analysis provided by others,0,,,,,28700,Est. for rural domestic and small systems on dwelling unit and pop. density; Industry (dairy & golf courses) based on presence/cow count,Estimate,20-30 %,Accuracy based from other technical studies and professional judgement
9,,2019,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,169591,"Meters and comparable measuring devices operated by local water agencies, water purveyors and city water departments in compliance with AWWA and other relevant standards",Direct,0-5 %,"These data were collected from well meters by experienced water agency staff following monitoring protocols for urban and agricultural water supply.  Meters are considered to be well-maintained and tested; therefore, reported data meet high accuracy levels in compliance with AWWA and other relevant standards. In accordance with these standards for water supply, meter accuracy is assumed to range between 0% and 5%.  ",0,,,,,1114592,IWFM Demand Calculator (IDC) in C2VSimFG-Kern,Estimate,10-20 %,"Estimated groundwater extractions is based on simulation results of the IDC tool within C2VSimFG-Kern model.  The water balance accuracy of the groundwater model is considered to be medium, approximately ranging between 10% and 20%.  Input data based on metered data is assumed to have an accuracy of 0% to 5%.  The agricultural pumping, which is the largest component of groundwater extraction, are estimated using the ITRC-METRIC based ET Rates.  ITRC (2020) lists the accuracy of the ET measurements as ranging from 7% to 10%. Land use is based on Kern County Agricultural Commissioner annual land use data including crop type.  Soil properties are assumed are based on local soil survey data which have a higher level of uncertainty.  Applying a weighted average of these inputs to the overall water budget produces a relative accuracy for the land use calculation for agricultural groundwater extractions ranging between 10% and 20%. ",0,,,,,0,,,,
26,,2019,KINGS,5-022.08,Single Annual Report,Entire Basin,123987,Flow meters,Direct,0-5 %,Typical accuracy for propeller and flow meters,0,,,,,892307,Calculated pumping from crop water demands minus surface water deliveries,Estimate,10-20 %,Based on accuracy of crop evapotranspiration estimates,0,,,,,45300,Rural domestic pumping estimated based on vegetated area and standard indoor use,Estimate,20-30 %,Accuracy based on publication by Cal Poly Irrigation Training and Research Center
"20,22,25,33",,2019,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,10681,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,408531,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,15900,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
12,,2019,MERCED,5-022.04,Single Annual Report,Entire Basin,64129,Metered volumes were reported by agencies who collect meter data for groundwater pumping.,Direct,Other,Metered data have a qualitative high level of accuracy. Many agencies reported metered groundwater pumping data and did not have information on an exact percent accuracy.,0,,,,,0,,,,,573675,The MercedWRM was used to calculate private pumping for the agricultural sector based on land use and evapotranspiration data. Private pumping for the urban sector (primarily from domestic wells) is estimated by the MercedWRM based on census data for population multiplied by a volumetric water use factor averaged from the urban regions.,Estimate,Other,The estimates provided by the MercedWRM have a qualitative medium level of accuracy. ,0,,,,
28,,2019,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,33476,Total Data Availiable from meters,Direct,0-5 %,Estimated,0,,,,,432989,Land use was calculated using crop ET demand and population for for Urban and Rural Areas.,Estimate,10-20 %,Crop ET was estimated based on Maturity fo the crop and Urban and Rural usage areas were estimated based on best availiable data.,0,,,,,0,,,,
"34,35,36,37,38,39",,2019,TULE,5-022.13,Multiple Annual Reports,Entire Basin,35166,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,88602,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,384400,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
