PROGRAM_TYPE,GENERAL_SITE_ID,LOCAL_SITE_NAME,SITE_TYPE,BASIN_NAME,GSP_NAME,GSA_NAME,ALT_AGENCY_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,PRINCIPAL_AQUIFER,STATE_WELL_NUMBER,RP_ELEVATION,RP_DESCRIPTION,RP_ELEVATION_SUBSURFACE,GS_ELEVATION,MEAS_METHOD,MEAS_ACC,LATITUDE,LONGITUDE,DEPTH,CASED_DEPTH,DEPTH_TOP,DEPTH_BOTTOM,COUNTY,CREATED_DT,UPDATED_DT
SGMA,426,OLD RIVER AT BYRON,Stream Gage,5-022.15 Tracy,,County of San Joaquin GSA - Tracy,,SGMA,Interconnected Surface Waters,,,18,Ground Surface,,18,Unknown,Unknown,37.89,-121.57,,,,,San Joaquin,2022-01-24 09:10:43.065977,2022-01-24 09:10:43.065977
SGMA,427,GRANTLINE CANAL (USGS),Stream Gage,5-022.15 Tracy,,County of San Joaquin GSA - Tracy,,SGMA,Interconnected Surface Waters,,,10,Ground Surface,,10,Unknown,Unknown,37.8196,-121.549,,,,,San Joaquin,2022-01-24 09:10:43.101025,2022-01-24 09:10:43.101025
SGMA,428,OLD RIVER NEAR TRACY,Stream Gage,5-022.15 Tracy,,County of San Joaquin GSA - Tracy,,SGMA,Interconnected Surface Waters,,,5,Ground Surface,,5,Unknown,Unknown,37.8048,-121.45,,,,,San Joaquin,2022-01-24 09:10:43.110346,2022-01-24 09:10:43.110346
SGMA,429,SAN JOAQUIN R BLW OLD R NEAR LATHROP,Stream Gage,5-022.15 Tracy,,County of San Joaquin GSA - Tracy,,SGMA,Interconnected Surface Waters,,,10,Ground Surface,,10,Unknown,Unknown,37.8111,-121.324,,,,,San Joaquin,2022-01-24 09:10:43.118428,2022-01-24 09:10:43.118428
SGMA,474,EDA,Stream Gage,5-022.09 Westside,,Pleasant Valley GSA,,SGMA,Interconnected Surface Waters,,,0,Unknown,,0,Unknown,Unknown,36.1664,-120.21,,,,,Fresno,2022-03-31 09:00:01.378502,2022-03-31 09:00:01.378502
SGMA,475,PVWD Jacalitos Creek East,Stream Gage,5-022.10 Pleasant Valley,,Pleasant Valley GSA,,SGMA,Interconnected Surface Waters,,,0,Unknown,,0,Unknown,Unknown,36.1371,-120.277,,,,,Fresno,2022-03-31 09:00:01.389581,2022-03-31 09:00:01.389581
SGMA,476,PVWD Los Gatos Creek,Stream Gage,5-022.10 Pleasant Valley,,Pleasant Valley GSA,,SGMA,Interconnected Surface Waters,,,0,Unknown,,0,Unknown,Unknown,36.18,-120.382,,,,,Fresno,2022-03-31 09:00:01.400091,2022-03-31 09:00:01.400091
SGMA,477,PVWD Los Gatos Cr East,Stream Gage,5-022.10 Pleasant Valley,,Pleasant Valley GSA,,SGMA,Interconnected Surface Waters,,,0,Unknown,,0,Unknown,Unknown,36.1465,-120.283,,,,,Fresno,2022-03-31 09:00:01.410202,2022-03-31 09:00:01.410202
SGMA,478,Zapato Chino Creek East,Stream Gage,5-022.09 Westside,,Pleasant Valley GSA,,SGMA,Interconnected Surface Waters,,,0,Unknown,,0,Unknown,Unknown,36.1233,-120.2,,,,,Fresno,2022-03-31 09:00:01.420285,2022-03-31 09:00:01.420285
SGMA,479,PVWD Jacalitos Creek,Stream Gage,5-022.10 Pleasant Valley,,Pleasant Valley GSA,,SGMA,Interconnected Surface Waters,,,0,Unknown,,0,Unknown,Unknown,36.1018,-120.31,,,,,Fresno,2022-03-31 09:00:01.429677,2022-03-31 09:00:01.429677
SGMA,480,PVWD Warthan Creek,Stream Gage,5-022.10 Pleasant Valley,,Pleasant Valley GSA,,SGMA,Interconnected Surface Waters,,,0,Unknown,,0,Unknown,Unknown,36.1372,-120.345,,,,,Fresno,2022-03-31 09:00:01.440113,2022-03-31 09:00:01.440113
SGMA,481,Zapato Chino Creek West,Stream Gage,5-022.10 Pleasant Valley,,Pleasant Valley GSA,,SGMA,Interconnected Surface Waters,,,0,Unknown,,0,Unknown,Unknown,36.0737,-120.227,,,,,Fresno,2022-03-31 09:00:01.449876,2022-03-31 09:00:01.449876
