PROGRAM_TYPE,GENERAL_SITE_ID,LOCAL_SITE_NAME,SITE_TYPE,BASIN_NAME,GSP_NAME,GSA_NAME,ALT_AGENCY_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,PRINCIPAL_AQUIFER,STATE_WELL_NUMBER,RP_ELEVATION,RP_DESCRIPTION,RP_ELEVATION_SUBSURFACE,GS_ELEVATION,MEAS_METHOD,MEAS_ACC,LATITUDE,LONGITUDE,DEPTH,CASED_DEPTH,DEPTH_TOP,DEPTH_BOTTOM,COUNTY,CREATED_DT,UPDATED_DT
SGMA,47,AG-24,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,157.77,No description available,,161.938,Unknown,Unknown,36.6705,-120.27,,,,,Fresno,2020-01-10 12:10:15.293315,2021-11-10 14:04:12.209000
SGMA,47,AG-24,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,157.77,No description available,,161.938,Unknown,Unknown,36.6705,-120.27,,,,,Fresno,2020-01-10 12:10:15.293315,2021-11-10 14:04:12.209000
SGMA,48,TID A,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,160.54,No description available,,167.507,Unknown,Unknown,36.6616,-120.241,,,,,Fresno,2020-01-10 12:10:15.315099,2021-11-10 14:06:17.695000
SGMA,48,TID A,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,160.54,No description available,,167.507,Unknown,Unknown,36.6616,-120.241,,,,,Fresno,2020-01-10 12:10:15.315099,2021-11-10 14:06:17.695000
SGMA,49,TID B,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,169.22,No description available,,169.503,Unknown,Unknown,36.6101,-120.242,,,,,Fresno,2020-01-10 12:10:15.322390,2021-11-10 14:08:25.433000
SGMA,49,TID B,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,169.22,No description available,,169.503,Unknown,Unknown,36.6101,-120.242,,,,,Fresno,2020-01-10 12:10:15.322390,2021-11-10 14:08:25.433000
SGMA,51,Sub Monit Point 11,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,179.74,No description available,,185.564,Unknown,Unknown,37.0667,-120.967,,,,,Merced,2020-01-10 12:10:15.338509,2021-11-10 14:10:37.115000
SGMA,51,Sub Monit Point 11,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,179.74,No description available,,185.564,Unknown,Unknown,37.0667,-120.967,,,,,Merced,2020-01-10 12:10:15.338509,2021-11-10 14:10:37.115000
SGMA,52,Sub Monit Point 12,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,176.567,No description available,,175.051,Unknown,Unknown,37.0187,-120.901,,,,,Merced,2020-01-10 12:10:15.345713,2021-11-10 14:11:45.034000
SGMA,52,Sub Monit Point 12,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,176.567,No description available,,175.051,Unknown,Unknown,37.0187,-120.901,,,,,Merced,2020-01-10 12:10:15.345713,2021-11-10 14:11:45.034000
SGMA,53,Sub Monit Point 13,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,174.387,No description available,,169.876,Unknown,Unknown,36.969,-120.832,,,,,Merced,2020-01-10 12:10:15.352591,2021-11-10 14:12:33.868000
SGMA,53,Sub Monit Point 13,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,174.387,No description available,,169.876,Unknown,Unknown,36.969,-120.832,,,,,Merced,2020-01-10 12:10:15.352591,2021-11-10 14:12:33.868000
SGMA,54,Sub Monit Point 14,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,165.905,No description available,,167.087,Unknown,Unknown,36.8899,-120.67,,,,,Fresno,2020-01-10 12:10:15.359620,2021-11-10 14:13:28.566000
SGMA,54,Sub Monit Point 14,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,165.905,No description available,,167.087,Unknown,Unknown,36.8899,-120.67,,,,,Fresno,2020-01-10 12:10:15.359620,2021-11-10 14:13:28.566000
SGMA,55,Sub Monit Point 15,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,163.116,No description available,,164.79,Unknown,Unknown,36.8903,-120.655,,,,,Fresno,2020-01-10 12:10:15.365848,2021-11-10 13:54:48.075000
SGMA,55,Sub Monit Point 15,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,Central Delta-Mendota GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,163.116,No description available,,164.79,Unknown,Unknown,36.8903,-120.655,,,,,Fresno,2020-01-10 12:10:15.365848,2021-11-10 13:54:48.075000
