DATASET,GENERAL_SITE_ID,LOCAL_SITE_NAME,SITE_TYPE,BASIN_NAME,GSA_NAME,GSP_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,RP_ELEVATION,RP_DESCRIPTION,GS_ELEVATION,MEAS_METHOD,MEAS_ACC,LATITUDE,LONGITUDE,COUNTY
subsidence,47,AG-24,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Central Delta-Mendota GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",157.77,No description available,161.938,Unknown,Unknown,36.6705,-120.27,Fresno
subsidence,48,TID A,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Central Delta-Mendota GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",160.54,No description available,167.507,Unknown,Unknown,36.6616,-120.241,Fresno
subsidence,49,TID B,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Central Delta-Mendota GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",169.22,No description available,169.503,Unknown,Unknown,36.6101,-120.242,Fresno
subsidence,51,Sub Monit Point 11,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Central Delta-Mendota GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",179.74,No description available,185.564,Unknown,Unknown,37.0667,-120.967,Merced
subsidence,52,Sub Monit Point 12,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Central Delta-Mendota GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",176.567,No description available,175.051,Unknown,Unknown,37.0187,-120.901,Merced
subsidence,53,Sub Monit Point 13,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Central Delta-Mendota GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",174.387,No description available,169.876,Unknown,Unknown,36.969,-120.832,Merced
subsidence,54,Sub Monit Point 14,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Central Delta-Mendota GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",165.905,No description available,167.087,Unknown,Unknown,36.8899,-120.67,Fresno
subsidence,55,Sub Monit Point 15,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Central Delta-Mendota GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",163.116,No description available,164.79,Unknown,Unknown,36.8903,-120.655,Fresno
subsidence,56,Floragold Well,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,City of Patterson GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",122.95,No description available,118.005,Unknown,Unknown,37.4698,-121.15,Stanislaus
subsidence,57,Well 11,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,City of Patterson GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",80.83,No description available,76.986,Unknown,Unknown,37.4765,-121.11,Stanislaus
subsidence,58,Well 2,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,City of Patterson GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",104.18,No description available,102.985,Unknown,Unknown,37.4712,-121.133,Stanislaus
subsidence,59,Well 4,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,City of Patterson GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",102.7,No description available,102.656,Unknown,Unknown,37.4794,-121.141,Stanislaus
subsidence,61,Sub Monit Point 6,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,City of Patterson GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",188.365,No description available,181.905,Unknown,Unknown,37.4717,-121.177,Stanislaus
subsidence,62,Sub Monit Point 8,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Northwestern Delta-Mendota GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",187.467,No description available,178.909,Unknown,Unknown,37.4202,-121.131,Stanislaus
subsidence,63,Locust Avenue Well,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Patterson Irrigation District GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",101.88,No description available,99.297,Unknown,Unknown,37.4616,-121.115,Stanislaus
subsidence,64,Pumping Plant No. 2,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Patterson Irrigation District GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",67.3,No description available,63.005,Unknown,Unknown,37.4801,-121.098,Stanislaus
subsidence,65,River Station,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,Patterson Irrigation District GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",55.25,No description available,46.478,Unknown,Unknown,37.4972,-121.083,Stanislaus
subsidence,68,WSID 11,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,West Stanislaus Irrigation District GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",99.281,GSE from DEM,99.281,Unknown,Unknown,37.5692,-121.22,Stanislaus
subsidence,69,WSID 21,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,West Stanislaus Irrigation District GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",167.406,GSE from DEM,167.406,Unknown,Unknown,37.5584,-121.244,Stanislaus
subsidence,71,Sub Monit Point 1,Surveying/Benchmark Sites,5-022.15 Tracy,DM-II GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",192.205,No description available,191.672,Unknown,Unknown,37.6549,-121.398,Stanislaus
subsidence,72,Sub Monit Point 2,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM-II GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",192.5,No description available,200.027,Unknown,Unknown,37.618,-121.325,Stanislaus
subsidence,73,Sub Monit Point 3,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM-II GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",191.195,No description available,186.698,Unknown,Unknown,37.56,-121.271,Stanislaus
subsidence,74,Sub Monit Point 4,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM-II GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",190.165,No description available,186.886,Unknown,Unknown,37.5555,-121.251,Stanislaus
subsidence,75,Sub Monit Point 5,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM-II GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",189.839,No description available,184.444,Unknown,Unknown,37.5218,-121.218,Stanislaus
subsidence,77,Sub Monit Point 9,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM-II GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",184.842,No description available,174.396,Unknown,Unknown,37.2905,-121.088,Stanislaus
subsidence,78,Sub Monit Point 10,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM-II GSA,DM_NorthCentral_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",178.551,No description available,176.231,Unknown,Unknown,37.1518,-121.039,Merced
subsidence,167,Yearout,Extensometer,5-022.07 Delta-Mendota,Farmers Water District GSA,DM_Farmers_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",163,Ground surface,163,Unknown,0.1 ft.,36.7601,-120.313,Fresno
subsidence,168,P304 - GPS,Continuous GPS,5-022.07 Delta-Mendota,Farmers Water District GSA,DM_Farmers_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",167.848,Unknown ,167.848,GPS,0.1 ft.,36.738,-120.354,Fresno
subsidence,169,SUB019,Surveying/Benchmark Sites,5-022.08 Kings,McMullin Area GSA,Kings_McMullinArea_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.6626,-119.97,Fresno
subsidence,170,SUB041,Surveying/Benchmark Sites,5-022.08 Kings,McMullin Area GSA,Kings_McMullinArea_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5901,-120.061,Fresno
subsidence,171,SUB052,Surveying/Benchmark Sites,5-022.08 Kings,McMullin Area GSA,Kings_McMullinArea_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7197,-120.202,Fresno
subsidence,172,SUB060,Surveying/Benchmark Sites,5-022.08 Kings,McMullin Area GSA,Kings_McMullinArea_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5797,-119.876,Fresno
subsidence,173,SUB085,Surveying/Benchmark Sites,5-022.08 Kings,McMullin Area GSA,Kings_McMullinArea_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.6476,-120.025,Fresno
subsidence,174,14S/13E-11D6,Extensometer,5-022.09 Westside,Westlands Water District GSA,,SGMA Representative,Land Subsidence,287.48,None Provided,1,Unknown,0.1 ft.,36.7328,-120.531,Fresno
subsidence,175,18S/16E-33A1,Extensometer,5-022.09 Westside,Westlands Water District GSA,,SGMA Representative,Land Subsidence,323.6,None Provided,322.6,Unknown,0.1 ft.,36.3261,-120.23,Fresno
subsidence,176,20S/18E-06D1,Extensometer,5-022.09 Westside,Westlands Water District GSA,,SGMA Representative,Land Subsidence,328.73,None Provided,327.73,Unknown,0.1 ft.,36.2261,-120.066,Fresno
subsidence,180,Fordel-Ext,Extensometer,5-022.07 Delta-Mendota,County of Fresno GSA - Delta-Mendota Management Area A,DM_FresnoCounty_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",163,Ground surface,163,Unknown,0.1 ft.,36.7556,-120.369,Fresno
subsidence,181,P304 - GPS,Continuous GPS,5-022.07 Delta-Mendota,County of Fresno GSA - Delta-Mendota Management Area A,DM_FresnoCounty_Adopted,SGMA Representative,"Land Subsidence,Land Subsidence",167.848,Unknown,167.848,GPS,0.1 ft.,36.738,-120.354,Fresno
