GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METHOD_USED,TOTAL_WATER_USE,WST_EXPLANATION,WST_GROUNDWATER,WST_OTHER,WST_RECYCLED_WATER,WST_REUSED_WATER,WST_SURFACE_WATER,WUS_AGRICULTURAL,WUS_EXPLANATION,WUS_INDUSTRIAL,WUS_MANAGED_RECHARGE,WUS_MANAGED_WETLANDS,WUS_NATIVE_VEGETATION,WUS_OTHER,WUS_URBAN
10,,2019,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,"Total Water Use is assumed to be the total volume of water applied to the land surface from all sources.
Groundwater is determined following the methods described in Part B.
Surface water is determined from delivery records (from Districts) and riparian diversion reports (eWRIMS).
Precipitation is determined from CIMIS and PRISM records (PRISM in water year 2019).",522550,Precipitation,209970,137690,0,0,174890,489700,,0,8840,0,7370,0,16640
8,,2019,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,"Sum of self-reported volumes from each GSA within the Delta-Mendota Subbasin across six Subbasin GSP regions; Reflects water lost through canal leakage, pipe leakage, and other percolating waters",1653800,,256500,0,14400,17800,1365100,1259300,,6200,7300,365500,0,0,15500
14,,2019,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,Total water use is the sum of groundwater use (Part A) and surface water use (Part C).,1254591,,738147,0,0,0,516444,1134479,,0,0,0,0,0,120111
29,,2019,KAWEAH,5-022.11,Single Annual Report,Entire Basin,Sum of groundwater use plus water supplies minus conveyance losses,1377700,,686300,0,12000,0,871800,603900,,21800,236900,0,590,0,60000
9,,2019,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,"Meters, Land Use Calculations, Groundwater Model",3878302,,1284183,0,35609,1524,2768267,2445679,"Banking recovery, exchanges and pumpins",0,1173060,23074,0,36512,199977
26,,2019,KINGS,5-022.08,Single Annual Report,Entire Basin,Sum of all water supplies,2700756,Riparian water diversions and local minor water transfers,1061594,40172,581,0,1598409,2078777,James ID Wells pumped in McMullin Area GSA (agricultural use),0,381436,0,0,7798,232745
"20,22,25,33",,2019,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,932101,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,435012,309490,46,0,187453,748656,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,11657,0,76360,0,66795
12,,2019,MERCED,5-022.04,Single Annual Report,Entire Basin,Total water use is a simple sum (by sector) of the groundwater use and total surface water available for use. Groundwater use was calculated by a mixture of direct metered measurements and estimates from the MercedWRM. Surface water diversions were metered directly.,1159302,,637804,0,0,0,521498,1098340,,0,0,12495,0,0,48467
28,,2019,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,"Methods used were estimated crop ET demand, meters, population useage for urban and rural areas.",1174471,,480390,0,0,0,584906,1138400,Other is Municipal Usage from Cities and Communities.,0,0,0,0,26571,9500
"34,35,36,37,38,39",,2019,TULE,5-022.13,Multiple Annual Reports,Entire Basin,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,1995124,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,536534,529880,9202,2156,974224,1439932,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,283679,0,0,9234,25598
27,,2019,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,Groundwater extraction from metered wells and monthly surface water delivery records from USBR,985000,,119000,0,0,0,866000,980000,Small water systems (4310 AF) and Domestic wells (82 AF),0,0,128,0,4392,823
