subbasin,gsa,year,symb_class,acres
Tulare Lake,El Rico GSA,2020,D,11412.0
Tulare Lake,El Rico GSA,2020,F,91938.1
Tulare Lake,El Rico GSA,2020,G,15276.0
Tulare Lake,El Rico GSA,2020,P,5733.9
Tulare Lake,El Rico GSA,2020,T,15513.1
Tulare Lake,El Rico GSA,2020,U,2146.8
Tulare Lake,El Rico GSA,2020,V,323.4
Tulare Lake,El Rico GSA,2020,X,22189.9
Tulare Lake,El Rico GSA,2021,D,11419.5
Tulare Lake,El Rico GSA,2021,F,67209.4
Tulare Lake,El Rico GSA,2021,G,15536.2
Tulare Lake,El Rico GSA,2021,I,12477.5
Tulare Lake,El Rico GSA,2021,P,4664.9
Tulare Lake,El Rico GSA,2021,T,18924.7
Tulare Lake,El Rico GSA,2021,U,2146.8
Tulare Lake,El Rico GSA,2021,V,323.4
Tulare Lake,El Rico GSA,2021,X,31532.1
Tulare Lake,El Rico GSA,2021,YP,303.6
Tulare Lake,El Rico GSA,2022,D,14719.6
Tulare Lake,El Rico GSA,2022,F,74476.3
Tulare Lake,El Rico GSA,2022,G,16070.1
Tulare Lake,El Rico GSA,2022,I,19228.4
Tulare Lake,El Rico GSA,2022,P,4248.7
Tulare Lake,El Rico GSA,2022,T,19201.6
Tulare Lake,El Rico GSA,2022,U,2719.9
Tulare Lake,El Rico GSA,2022,V,323.4
Tulare Lake,El Rico GSA,2022,X,11876.2
Tulare Lake,El Rico GSA,2022,YP,2504.1
Tulare Lake,El Rico GSA,2023,D,18921.0
Tulare Lake,El Rico GSA,2023,F,43463.0
Tulare Lake,El Rico GSA,2023,G,13583.5
Tulare Lake,El Rico GSA,2023,I,19872.0
Tulare Lake,El Rico GSA,2023,P,3425.4
Tulare Lake,El Rico GSA,2023,T,6747.8
Tulare Lake,El Rico GSA,2023,U,2734.1
Tulare Lake,El Rico GSA,2023,V,481.3
Tulare Lake,El Rico GSA,2023,X,55971.9
Tulare Lake,El Rico GSA,2023,YP,39.9
Tulare Lake,El Rico GSA,2024,D,19780.7
Tulare Lake,El Rico GSA,2024,F,93238.7
Tulare Lake,El Rico GSA,2024,G,12275.6
Tulare Lake,El Rico GSA,2024,I,11121.1
Tulare Lake,El Rico GSA,2024,P,2211.1
Tulare Lake,El Rico GSA,2024,T,16252.9
Tulare Lake,El Rico GSA,2024,U,2750.9
Tulare Lake,El Rico GSA,2024,V,481.3
Tulare Lake,El Rico GSA,2024,X,6152.3
Tulare Lake,El Rico GSA,2024,YP,154.8
Kern,Pioneer GSA,2020,G,298.5
Kern,Pioneer GSA,2020,T,254.4
Kern,Pioneer GSA,2020,X,614.3
Kern,Pioneer GSA,2021,G,163.0
Kern,Pioneer GSA,2021,I,531.3
Kern,Pioneer GSA,2021,T,472.9
Kern,Pioneer GSA,2022,I,444.7
Kern,Pioneer GSA,2022,T,298.5
Kern,Pioneer GSA,2022,X,40.6
Kern,Pioneer GSA,2023,I,485.3
Kern,Pioneer GSA,2023,T,298.5
Kern,Pioneer GSA,2024,I,343.1
Kern,Pioneer GSA,2024,T,298.5
Tulare Lake,Mid-Kings River GSA,2020,C,404.3
Tulare Lake,Mid-Kings River GSA,2020,D,34580.9
Tulare Lake,Mid-Kings River GSA,2020,F,22156.6
Tulare Lake,Mid-Kings River GSA,2020,G,2875.5
Tulare Lake,Mid-Kings River GSA,2020,P,4977.7
Tulare Lake,Mid-Kings River GSA,2020,T,781.1
Tulare Lake,Mid-Kings River GSA,2020,U,14187.7
Tulare Lake,Mid-Kings River GSA,2020,V,1357.6
Tulare Lake,Mid-Kings River GSA,2020,X,5043.9
Tulare Lake,Mid-Kings River GSA,2020,YP,824.8
Tulare Lake,Mid-Kings River GSA,2021,C,370.8
Tulare Lake,Mid-Kings River GSA,2021,D,33804.4
Tulare Lake,Mid-Kings River GSA,2021,F,20388.8
Tulare Lake,Mid-Kings River GSA,2021,G,3407.6
Tulare Lake,Mid-Kings River GSA,2021,I,4422.4
Tulare Lake,Mid-Kings River GSA,2021,P,5021.2
Tulare Lake,Mid-Kings River GSA,2021,T,1126.5
Tulare Lake,Mid-Kings River GSA,2021,U,14096.1
Tulare Lake,Mid-Kings River GSA,2021,V,1292.7
Tulare Lake,Mid-Kings River GSA,2021,X,2430.9
Tulare Lake,Mid-Kings River GSA,2021,YP,758.8
Tulare Lake,Mid-Kings River GSA,2022,C,615.3
Tulare Lake,Mid-Kings River GSA,2022,D,35343.2
Tulare Lake,Mid-Kings River GSA,2022,F,20200.1
Tulare Lake,Mid-Kings River GSA,2022,G,2269.1
Tulare Lake,Mid-Kings River GSA,2022,I,4606.8
Tulare Lake,Mid-Kings River GSA,2022,P,5152.9
Tulare Lake,Mid-Kings River GSA,2022,T,1767.0
Tulare Lake,Mid-Kings River GSA,2022,U,14379.5
Tulare Lake,Mid-Kings River GSA,2022,UL,114.0
Tulare Lake,Mid-Kings River GSA,2022,V,1255.1
Tulare Lake,Mid-Kings River GSA,2022,X,487.7
Tulare Lake,Mid-Kings River GSA,2022,YP,1069.3
Tulare Lake,Mid-Kings River GSA,2023,C,618.7
Tulare Lake,Mid-Kings River GSA,2023,D,34656.8
Tulare Lake,Mid-Kings River GSA,2023,F,22503.5
Tulare Lake,Mid-Kings River GSA,2023,G,3411.2
Tulare Lake,Mid-Kings River GSA,2023,I,2242.6
Tulare Lake,Mid-Kings River GSA,2023,P,4650.7
Tulare Lake,Mid-Kings River GSA,2023,T,1860.7
Tulare Lake,Mid-Kings River GSA,2023,U,14165.7
Tulare Lake,Mid-Kings River GSA,2023,UL,114.0
Tulare Lake,Mid-Kings River GSA,2023,V,1221.0
Tulare Lake,Mid-Kings River GSA,2023,X,636.1
Tulare Lake,Mid-Kings River GSA,2023,YP,595.9
Tulare Lake,Mid-Kings River GSA,2024,C,652.6
Tulare Lake,Mid-Kings River GSA,2024,D,32258.0
Tulare Lake,Mid-Kings River GSA,2024,F,22656.4
Tulare Lake,Mid-Kings River GSA,2024,G,4555.9
Tulare Lake,Mid-Kings River GSA,2024,I,2152.9
Tulare Lake,Mid-Kings River GSA,2024,P,4614.7
Tulare Lake,Mid-Kings River GSA,2024,T,1802.8
Tulare Lake,Mid-Kings River GSA,2024,U,14222.0
Tulare Lake,Mid-Kings River GSA,2024,UL,114.0
Tulare Lake,Mid-Kings River GSA,2024,V,1256.2
Tulare Lake,Mid-Kings River GSA,2024,X,1284.7
Tulare Lake,Mid-Kings River GSA,2024,YP,760.9
Kern,Henry Miller Water District GSA,2020,D,6099.6
Kern,Henry Miller Water District GSA,2020,F,766.2
Kern,Henry Miller Water District GSA,2020,T,1459.5
Kern,Henry Miller Water District GSA,2020,U,178.0
Kern,Henry Miller Water District GSA,2020,X,13606.9
Kern,Henry Miller Water District GSA,2021,D,6099.6
Kern,Henry Miller Water District GSA,2021,I,13064.5
Kern,Henry Miller Water District GSA,2021,T,719.4
Kern,Henry Miller Water District GSA,2021,UL,7.8
Kern,Henry Miller Water District GSA,2021,X,2048.8
Kern,Henry Miller Water District GSA,2022,D,6099.5
Kern,Henry Miller Water District GSA,2022,I,14743.1
Kern,Henry Miller Water District GSA,2022,UL,7.8
Kern,Henry Miller Water District GSA,2022,X,1167.8
Kern,Henry Miller Water District GSA,2023,D,6097.3
Kern,Henry Miller Water District GSA,2023,F,946.0
Kern,Henry Miller Water District GSA,2023,I,11873.1
Kern,Henry Miller Water District GSA,2023,T,2917.3
Kern,Henry Miller Water District GSA,2023,UL,7.8
Kern,Henry Miller Water District GSA,2023,X,40.7
Kern,Henry Miller Water District GSA,2024,D,6078.2
Kern,Henry Miller Water District GSA,2024,F,5007.1
Kern,Henry Miller Water District GSA,2024,I,6499.8
Kern,Henry Miller Water District GSA,2024,T,2346.7
Kern,Henry Miller Water District GSA,2024,UL,7.8
Kern,Henry Miller Water District GSA,2024,X,1286.9
Kings,McMullin Area GSA,2020,C,155.7
Kings,McMullin Area GSA,2020,D,54062.3
Kings,McMullin Area GSA,2020,F,10561.8
Kings,McMullin Area GSA,2020,G,415.2
Kings,McMullin Area GSA,2020,P,9503.1
Kings,McMullin Area GSA,2020,T,3519.9
Kings,McMullin Area GSA,2020,U,66.7
Kings,McMullin Area GSA,2020,V,27156.8
Kings,McMullin Area GSA,2020,X,2644.5
Kings,McMullin Area GSA,2020,YP,490.3
Kings,McMullin Area GSA,2021,C,155.7
Kings,McMullin Area GSA,2021,D,54653.6
Kings,McMullin Area GSA,2021,F,10570.1
Kings,McMullin Area GSA,2021,G,796.4
Kings,McMullin Area GSA,2021,I,1994.2
Kings,McMullin Area GSA,2021,P,8753.2
Kings,McMullin Area GSA,2021,T,3357.5
Kings,McMullin Area GSA,2021,U,66.7
Kings,McMullin Area GSA,2021,V,25414.5
Kings,McMullin Area GSA,2021,X,822.1
Kings,McMullin Area GSA,2021,YP,1943.9
Kings,McMullin Area GSA,2022,C,155.7
Kings,McMullin Area GSA,2022,D,54739.9
Kings,McMullin Area GSA,2022,F,9680.8
Kings,McMullin Area GSA,2022,G,1107.8
Kings,McMullin Area GSA,2022,I,1694.3
Kings,McMullin Area GSA,2022,P,8855.3
Kings,McMullin Area GSA,2022,T,3779.7
Kings,McMullin Area GSA,2022,U,66.7
Kings,McMullin Area GSA,2022,V,24267.6
Kings,McMullin Area GSA,2022,X,1882.9
Kings,McMullin Area GSA,2022,YP,2223.5
Kings,McMullin Area GSA,2023,C,155.7
Kings,McMullin Area GSA,2023,D,56072.8
Kings,McMullin Area GSA,2023,F,9075.0
Kings,McMullin Area GSA,2023,G,2958.3
Kings,McMullin Area GSA,2023,I,1848.8
Kings,McMullin Area GSA,2023,P,8636.7
Kings,McMullin Area GSA,2023,T,3958.7
Kings,McMullin Area GSA,2023,U,70.9
Kings,McMullin Area GSA,2023,V,23284.0
Kings,McMullin Area GSA,2023,X,1527.4
Kings,McMullin Area GSA,2023,YP,839.4
Kings,McMullin Area GSA,2024,C,208.2
Kings,McMullin Area GSA,2024,D,55469.8
Kings,McMullin Area GSA,2024,F,9300.4
Kings,McMullin Area GSA,2024,G,3045.2
Kings,McMullin Area GSA,2024,I,2060.0
Kings,McMullin Area GSA,2024,P,9030.5
Kings,McMullin Area GSA,2024,T,2989.7
Kings,McMullin Area GSA,2024,U,72.0
Kings,McMullin Area GSA,2024,V,22647.4
Kings,McMullin Area GSA,2024,X,1830.6
Kings,McMullin Area GSA,2024,YP,1469.2
Kern,Semitropic Water Storage District GSA,2020,C,916.5
Kern,Semitropic Water Storage District GSA,2020,D,84463.1
Kern,Semitropic Water Storage District GSA,2020,F,12460.5
Kern,Semitropic Water Storage District GSA,2020,G,4663.0
Kern,Semitropic Water Storage District GSA,2020,P,9961.9
Kern,Semitropic Water Storage District GSA,2020,T,2800.9
Kern,Semitropic Water Storage District GSA,2020,U,2461.5
Kern,Semitropic Water Storage District GSA,2020,V,5634.8
Kern,Semitropic Water Storage District GSA,2020,X,13746.2
Kern,Semitropic Water Storage District GSA,2020,YP,1086.4
Kern,Semitropic Water Storage District GSA,2021,C,916.5
Kern,Semitropic Water Storage District GSA,2021,D,81766.3
Kern,Semitropic Water Storage District GSA,2021,F,12952.9
Kern,Semitropic Water Storage District GSA,2021,G,3115.6
Kern,Semitropic Water Storage District GSA,2021,I,11658.3
Kern,Semitropic Water Storage District GSA,2021,P,9695.1
Kern,Semitropic Water Storage District GSA,2021,T,2364.8
Kern,Semitropic Water Storage District GSA,2021,U,2516.2
Kern,Semitropic Water Storage District GSA,2021,V,5568.4
Kern,Semitropic Water Storage District GSA,2021,X,6746.1
Kern,Semitropic Water Storage District GSA,2021,YP,941.4
Kern,Semitropic Water Storage District GSA,2022,C,871.9
Kern,Semitropic Water Storage District GSA,2022,D,84573.4
Kern,Semitropic Water Storage District GSA,2022,F,12393.3
Kern,Semitropic Water Storage District GSA,2022,G,3936.0
Kern,Semitropic Water Storage District GSA,2022,I,13491.6
Kern,Semitropic Water Storage District GSA,2022,P,7693.9
Kern,Semitropic Water Storage District GSA,2022,T,2767.7
Kern,Semitropic Water Storage District GSA,2022,U,2516.1
Kern,Semitropic Water Storage District GSA,2022,V,5630.6
Kern,Semitropic Water Storage District GSA,2022,X,2296.1
Kern,Semitropic Water Storage District GSA,2022,YP,1547.7
Kern,Semitropic Water Storage District GSA,2023,C,871.6
Kern,Semitropic Water Storage District GSA,2023,D,84611.7
Kern,Semitropic Water Storage District GSA,2023,F,14631.2
Kern,Semitropic Water Storage District GSA,2023,G,5182.2
Kern,Semitropic Water Storage District GSA,2023,I,11758.3
Kern,Semitropic Water Storage District GSA,2023,P,6558.3
Kern,Semitropic Water Storage District GSA,2023,T,3037.6
Kern,Semitropic Water Storage District GSA,2023,U,2521.3
Kern,Semitropic Water Storage District GSA,2023,V,5210.8
Kern,Semitropic Water Storage District GSA,2023,X,2861.1
Kern,Semitropic Water Storage District GSA,2023,YP,460.9
Kern,Semitropic Water Storage District GSA,2024,C,871.6
Kern,Semitropic Water Storage District GSA,2024,D,81954.1
Kern,Semitropic Water Storage District GSA,2024,F,12625.4
Kern,Semitropic Water Storage District GSA,2024,G,5446.6
Kern,Semitropic Water Storage District GSA,2024,I,13019.3
Kern,Semitropic Water Storage District GSA,2024,P,6616.8
Kern,Semitropic Water Storage District GSA,2024,T,2508.7
Kern,Semitropic Water Storage District GSA,2024,U,2185.2
Kern,Semitropic Water Storage District GSA,2024,V,4591.9
Kern,Semitropic Water Storage District GSA,2024,X,6497.4
Kern,Semitropic Water Storage District GSA,2024,YP,292.3
Kings,James GSA,2020,D,13197.0
Kings,James GSA,2020,F,4932.3
Kings,James GSA,2020,G,614.1
Kings,James GSA,2020,P,1371.1
Kings,James GSA,2020,T,1291.1
Kings,James GSA,2020,U,379.2
Kings,James GSA,2020,V,1686.8
Kings,James GSA,2020,X,2709.5
Kings,James GSA,2020,YP,58.9
Kings,James GSA,2021,D,14128.2
Kings,James GSA,2021,F,4553.6
Kings,James GSA,2021,G,411.0
Kings,James GSA,2021,I,1138.7
Kings,James GSA,2021,P,1105.5
Kings,James GSA,2021,T,1519.9
Kings,James GSA,2021,U,379.2
Kings,James GSA,2021,V,1686.8
Kings,James GSA,2021,X,1196.7
Kings,James GSA,2021,YP,115.7
Kings,James GSA,2022,D,14335.2
Kings,James GSA,2022,F,4573.7
Kings,James GSA,2022,G,386.0
Kings,James GSA,2022,I,1572.0
Kings,James GSA,2022,P,1070.4
Kings,James GSA,2022,T,1323.2
Kings,James GSA,2022,U,379.2
Kings,James GSA,2022,V,1339.6
Kings,James GSA,2022,X,669.3
Kings,James GSA,2022,YP,597.6
Kings,James GSA,2023,D,14694.7
Kings,James GSA,2023,F,4963.4
Kings,James GSA,2023,G,164.3
Kings,James GSA,2023,I,830.2
Kings,James GSA,2023,P,306.0
Kings,James GSA,2023,T,1244.7
Kings,James GSA,2023,U,401.1
Kings,James GSA,2023,V,1339.6
Kings,James GSA,2023,X,1309.6
Kings,James GSA,2023,YP,669.6
Kings,James GSA,2024,D,14591.3
Kings,James GSA,2024,F,3455.8
Kings,James GSA,2024,G,822.1
Kings,James GSA,2024,I,1344.4
Kings,James GSA,2024,P,456.0
Kings,James GSA,2024,T,1266.5
Kings,James GSA,2024,U,401.1
Kings,James GSA,2024,V,1337.1
Kings,James GSA,2024,X,1543.4
Kings,James GSA,2024,YP,688.7
Kern,Buena Vista Water Storage District GSA,2020,C,79.5
Kern,Buena Vista Water Storage District GSA,2020,D,16493.9
Kern,Buena Vista Water Storage District GSA,2020,F,8487.6
Kern,Buena Vista Water Storage District GSA,2020,G,654.5
Kern,Buena Vista Water Storage District GSA,2020,P,3466.2
Kern,Buena Vista Water Storage District GSA,2020,T,1244.8
Kern,Buena Vista Water Storage District GSA,2020,U,352.5
Kern,Buena Vista Water Storage District GSA,2020,V,4595.4
Kern,Buena Vista Water Storage District GSA,2020,X,7292.9
Kern,Buena Vista Water Storage District GSA,2020,YP,332.6
Kern,Buena Vista Water Storage District GSA,2021,C,79.5
Kern,Buena Vista Water Storage District GSA,2021,D,16622.3
Kern,Buena Vista Water Storage District GSA,2021,F,7633.7
Kern,Buena Vista Water Storage District GSA,2021,G,986.7
Kern,Buena Vista Water Storage District GSA,2021,I,5600.2
Kern,Buena Vista Water Storage District GSA,2021,P,3601.0
Kern,Buena Vista Water Storage District GSA,2021,T,1561.4
Kern,Buena Vista Water Storage District GSA,2021,U,352.5
Kern,Buena Vista Water Storage District GSA,2021,V,4595.4
Kern,Buena Vista Water Storage District GSA,2021,X,1449.7
Kern,Buena Vista Water Storage District GSA,2021,YP,453.8
Kern,Buena Vista Water Storage District GSA,2022,C,79.5
Kern,Buena Vista Water Storage District GSA,2022,D,17362.2
Kern,Buena Vista Water Storage District GSA,2022,F,8304.1
Kern,Buena Vista Water Storage District GSA,2022,G,1478.4
Kern,Buena Vista Water Storage District GSA,2022,I,3702.6
Kern,Buena Vista Water Storage District GSA,2022,P,3467.2
Kern,Buena Vista Water Storage District GSA,2022,T,1459.4
Kern,Buena Vista Water Storage District GSA,2022,U,352.9
Kern,Buena Vista Water Storage District GSA,2022,V,5191.6
Kern,Buena Vista Water Storage District GSA,2022,X,509.0
Kern,Buena Vista Water Storage District GSA,2022,YP,949.5
Kern,Buena Vista Water Storage District GSA,2023,C,79.5
Kern,Buena Vista Water Storage District GSA,2023,D,18319.7
Kern,Buena Vista Water Storage District GSA,2023,F,8904.7
Kern,Buena Vista Water Storage District GSA,2023,G,1602.7
Kern,Buena Vista Water Storage District GSA,2023,I,2901.1
Kern,Buena Vista Water Storage District GSA,2023,P,3192.5
Kern,Buena Vista Water Storage District GSA,2023,T,1500.6
Kern,Buena Vista Water Storage District GSA,2023,U,352.9
Kern,Buena Vista Water Storage District GSA,2023,V,5184.8
Kern,Buena Vista Water Storage District GSA,2023,X,309.3
Kern,Buena Vista Water Storage District GSA,2023,YP,413.0
Kern,Buena Vista Water Storage District GSA,2024,C,79.5
Kern,Buena Vista Water Storage District GSA,2024,D,18574.0
Kern,Buena Vista Water Storage District GSA,2024,F,9912.4
Kern,Buena Vista Water Storage District GSA,2024,G,588.7
Kern,Buena Vista Water Storage District GSA,2024,I,2872.1
Kern,Buena Vista Water Storage District GSA,2024,P,2703.1
Kern,Buena Vista Water Storage District GSA,2024,T,1234.6
Kern,Buena Vista Water Storage District GSA,2024,U,236.2
Kern,Buena Vista Water Storage District GSA,2024,V,5172.0
Kern,Buena Vista Water Storage District GSA,2024,X,853.0
Kern,Buena Vista Water Storage District GSA,2024,YP,412.8
Kings,North Fork Kings GSA,2020,C,237.6
Kings,North Fork Kings GSA,2020,D,66191.6
